"extension","instruction form","class","level0","level1","level2"
"avx512dq","VCVTQQ2PS mem, K, Y","turbo2","564444","34368","1165381285"
"avx512dq","VCVTQQ2PSX X, K, X","turbo0","1109499676","0","0"
"avx512dq","VCVTQQ2PSX mem, K, X","turbo0","1117883383","0","0"
"avx512dq","VCVTQQ2PSY Y, K, X","turbo1","635016","1113975161","0"
"avx512dq","VCVTQQ2PSY mem, K, X","turbo1","578552","1123862850","0"
"avx512f","VCVTSD2SI X, reg","turbo0","1097859926","0","0"
"avx512f","VCVTSD2SS X, X, K, X","turbo0","1084953561","0","0"
"avx512f","VCVTSD2SS mem, X, K, X","turbo0","1098518106","0","0"
"avx512f","VCVTSD2USIL X, reg","turbo1","0","408079","0"
"avx512f","VCVTSD2USIL mem, reg","turbo1","0","405531","0"
"avx512f","VCVTSD2USIQ X, reg","turbo0","1110766202","0","0"
"avx512f","VCVTSD2USIQ mem, reg","turbo0","1121567584","0","0"
"avx512f","VCVTSI2SDL mem, X, X","turbo0","1083442876","0","0"
"avx512f","VCVTSI2SDL reg, X, X","turbo0","1104393673","0","0"
"avx512f","VCVTSI2SDQ mem, X, X","turbo0","1083439532","0","0"
"avx512f","VCVTSI2SDQ reg, X, X","turbo0","1104716825","0","0"
"avx512f","VCVTSI2SSL mem, X, X","turbo0","1083585061","0","0"
"avx512f","VCVTSI2SSL reg, X, X","turbo0","1104727866","0","0"
"avx512f","VCVTSS2SD X, X, K, X","turbo0","1151208046","0","0"
"avx512f","VCVTSS2SD mem, X, K, X","turbo0","1312049509","0","0"
"avx512f","VCVTSS2SI X, reg","turbo1","0","400442","0"
"avx512f","VCVTSS2USIL X, reg","turbo1","0","397568","0"
"avx512f","VCVTSS2USIL mem, reg","turbo1","0","416099","0"
"avx512f","VCVTSS2USIQ X, reg","turbo0","1122106033","0","0"
"avx512f","VCVTSS2USIQ mem, reg","turbo0","1120832992","0","0"
"avx512f","VCVTTPD2DQ Z, K, Y","turbo2","559678","33828","1177457596"
"avx512f","VCVTTPD2DQ mem, K, Y","turbo2","584221","34169","1303072557"
"avx512f","VCVTTPD2DQX X, K, X","turbo0","1075151617","0","0"
"avx512f","VCVTTPD2DQX mem, K, X","turbo0","1098415843","0","0"
"avx512f","VCVTTPD2DQY Y, K, X","turbo1","658947","1163417161","0"
"avx512f","VCVTTPD2DQY mem, K, X","turbo1","602383","1234654987","0"
"avx512dq","VCVTTPD2QQ X, K, X","turbo0","1169742555","0","0"
"avx512dq","VCVTTPD2QQ Y, K, Y","turbo1","8350403","1126877074","0"
"avx512dq","VCVTTPD2QQ Z, K, Z","turbo2","555262","25356","1119254309"
"avx512dq","VCVTTPD2QQ mem, K, X","turbo0","1154223188","0","0"
"avx512dq","VCVTTPD2QQ mem, K, Y","turbo1","570177","1154842872","0"
"avx512dq","VCVTTPD2QQ mem, K, Z","turbo1","574840","1188550758","0"
"avx512f","VCVTTPD2UDQ Z, K, Y","turbo2","587759","25896","1177447885"
"avx512f","VCVTTPD2UDQ mem, K, Y","turbo2","577909","26076","1303398638"
"avx512f","VCVTTPD2UDQX X, K, X","turbo0","1075464183","0","0"
"avx512f","VCVTTPD2UDQX mem, K, X","turbo0","1098228488","0","0"
"avx512f","VCVTTPD2UDQY Y, K, X","turbo1","648566","1163722531","0"
"avx512f","VCVTTPD2UDQY mem, K, X","turbo1","579369","1234734049","0"
"avx512dq","VCVTTPD2UQQ X, K, X","turbo0","1135174632","0","0"
"avx512dq","VCVTTPD2UQQ Y, K, Y","turbo1","579043","1134451973","0"
"avx512dq","VCVTTPD2UQQ Z, K, Z","turbo2","531682","30876","1206198931"
"avx512dq","VCVTTPD2UQQ mem, K, X","turbo0","1154118188","0","0"
"avx512dq","VCVTTPD2UQQ mem, K, Y","turbo1","607385","1154045620","0"
"avx512dq","VCVTTPD2UQQ mem, K, Z","turbo1","575634","1188608492","0"
"avx512f","VCVTTPS2DQ X, K, X","turbo0","1215388570","0","0"
"avx512f","VCVTTPS2DQ Y, K, Y","turbo0","1216448877","0","0"
"avx512f","VCVTTPS2DQ Z, K, Z","turbo2","545492","39396","1117998912"
"avx512f","VCVTTPS2DQ mem, K, X","turbo0","1310841981","0","0"
"avx512f","VCVTTPS2DQ mem, K, Y","turbo0","1311790443","0","0"
"avx512f","VCVTTPS2DQ mem, K, Z","turbo1","576433","1188568996","0"
"avx512dq","VCVTTPS2QQ X, K, X","turbo0","1160425293","0","0"
"avx512dq","VCVTTPS2QQ X, K, Y","turbo0","1192145246","0","0"
"avx512dq","VCVTTPS2QQ Y, K, Z","turbo2","594524","31656","1137487702"
"avx512dq","VCVTTPS2QQ mem, K, X","turbo0","1154211747","0","0"
"avx512dq","VCVTTPS2QQ mem, K, Y","turbo1","555714","1154197657","0"
"avx512dq","VCVTTPS2QQ mem, K, Z","turbo1","583484","1195698450","0"
"avx512f","VCVTTPS2UDQ X, K, X","turbo0","1214967440","0","0"
"avx512f","VCVTTPS2UDQ Y, K, Y","turbo0","1215697909","0","0"
"avx512f","VCVTTPS2UDQ Z, K, Z","turbo2","570346","35534","1114936070"
"avx512f","VCVTTPS2UDQ mem, K, X","turbo0","1310594364","0","0"
"avx512f","VCVTTPS2UDQ mem, K, Y","turbo0","1312225012","0","0"
"avx512f","VCVTTPS2UDQ mem, K, Z","turbo1","585351","1188547564","0"
"avx512dq","VCVTTPS2UQQ X, K, X","turbo0","1138756841","0","0"
"avx512dq","VCVTTPS2UQQ X, K, Y","turbo1","578841","1140009440","0"
"avx512dq","VCVTTPS2UQQ Y, K, Z","turbo2","561172","24012","1137817611"
"avx512dq","VCVTTPS2UQQ mem, K, X","turbo0","1153723863","0","0"
"avx512dq","VCVTTPS2UQQ mem, K, Y","turbo1","614513","1153938727","0"
"avx512dq","VCVTTPS2UQQ mem, K, Z","turbo1","558373","1194817043","0"
"avx512f","VCVTTSD2SI X, reg","turbo0","1097411466","0","0"
"avx512f","VCVTTSD2USIL X, reg","turbo1","0","406056","0"
"avx512f","VCVTTSD2USIL mem, reg","turbo0","1121064334","0","0"
"avx512f","VCVTTSD2USIQ X, reg","turbo0","1111164523","0","0"
"avx512f","VCVTTSD2USIQ mem, reg","turbo0","1120936275","0","0"
"avx512f","VCVTTSS2SI X, reg","turbo1","0","410960","0"
